Laptop Brand,RAM_GB,Storage,Extracted Processor,Conditions,Prices,Regions,Cluster
4,16.0,1,1,2,4000,4,1
3,8.0,0,1,2,4200,4,0
3,8.0,1,1,2,3100,4,1
2,8.0,1,1,2,4800,4,1
2,8.0,1,1,2,2300,4,1
2,8.0,1,1,2,2800,4,1
3,16.0,1,1,2,2000,6,1
2,16.0,1,2,0,15984,0,2
3,8.0,1,1,2,3100,0,1
3,8.0,1,1,2,3999,4,1
2,16.0,1,2,2,4400,4,1
2,8.0,1,2,2,3000,4,1
0,16.0,1,1,0,10200,4,2
3,8.0,0,1,2,2300,4,0
1,16.0,1,2,0,11500,4,2
2,8.0,1,1,2,3000,4,1
1,8.0,0,2,2,3699,6,0
3,16.0,1,2,0,12158,0,2
0,8.0,0,1,0,4200,4,0
3,8.0,0,1,2,2500,0,0
5,8.0,1,1,2,3000,4,1
3,8.0,1,0,0,4300,0,2
3,8.0,1,1,2,2200,4,1
3,8.0,0,1,2,3000,4,0
1,16.0,1,2,0,14000,4,2
3,8.0,1,1,2,2800,4,1
3,8.0,1,2,0,12850,4,2
4,8.0,0,1,2,1700,4,0
1,8.0,1,1,2,3500,4,1
3,16.0,1,1,2,5000,4,1
3,8.0,0,2,2,2500,4,0
2,8.0,1,1,2,3600,4,1
3,8.0,1,0,2,2850,4,1
2,16.0,1,1,2,2800,4,1
3,8.0,1,2,2,4200,4,1
2,8.0,1,1,2,3500,4,1
5,16.0,1,2,2,8200,4,1
3,16.0,1,1,0,3950,0,2
3,8.0,1,0,2,3200,4,1
4,16.0,1,2,0,4600,4,2
2,8.0,0,1,2,1550,4,0
3,8.0,0,1,2,2100,4,0
3,8.0,0,2,2,3899,4,0
3,8.0,1,1,2,4650,2,1
4,16.0,1,2,0,7900,4,2
4,16.0,0,2,2,2700,4,0
3,8.0,1,1,2,3200,4,1
3,16.0,1,1,0,9500,4,2
2,16.0,1,2,2,6499,4,1
0,4.0,0,0,2,1600,4,0
5,8.0,1,1,2,7500,4,1
3,8.0,1,1,0,9600,4,2
3,16.0,1,2,2,7450,4,1
3,16.0,1,2,2,13500,0,2
5,8.0,1,1,2,8900,4,1
3,8.0,0,2,0,3550,0,0
2,16.0,0,1,0,7999,4,2
5,8.0,1,1,2,8700,4,1
3,4.0,0,1,0,8343,6,2
4,8.0,1,1,2,2450,4,1
2,16.0,1,2,2,7000,0,1
3,8.0,0,1,2,3900,4,0
3,8.0,1,2,0,12500,4,2
2,16.0,1,2,0,15000,0,2
3,16.0,1,2,2,7600,4,1
2,8.0,1,1,2,1750,4,1
3,16.0,1,2,2,7000,0,1
3,8.0,1,2,2,5300,4,1
5,8.0,1,1,2,7800,4,1
3,8.0,0,1,2,2500,4,0
2,8.0,0,1,2,2400,4,0
2,4.0,0,2,2,900,4,0
3,8.0,1,0,0,4992,0,2
3,16.0,1,2,2,5500,4,1
0,6.0,0,1,2,1500,0,0
3,8.0,1,0,0,4150,4,2
2,8.0,1,2,0,4800,4,2
2,16.0,1,2,0,14000,4,2
3,16.0,1,1,2,6500,4,1
4,8.0,1,2,1,2800,4,1
3,8.0,1,1,2,2800,4,1
1,16.0,0,2,0,5500,4,2
2,8.0,0,0,2,2500,0,0
5,8.0,1,1,2,3700,4,1
