Names,Storage,Prices,Conditions,Cities,Areas
Laptop Lenovo Thinkpad X1 Yoga 16GB Intel Core I5,SSD,4000,Used,Greater Accra,Accra Metropolitan
5TB Seagate One Touch External,Hard,2100,Brand New,Greater Accra,Madina
Laptop Sony VAIO E15 SVE1512K1EB 8GB Intel Pentium,HDD,900,Used,Central Region,Awutu Senya East Municipal
New Desktop Computer Asus ROG GT51CH 64GB Intel Core I9,SSD,58800,Brand New,Greater Accra,Accra Metropolitan
Laptop HP Pavilion 15t 8GB Intel Core I5,HDD,4200,Used,Greater Accra,Kokomlemle
Tigernu Solar Backpack for 15-16 Inches Laptop,at,250,Unknown,Greater Accra,Circle
Laptop HP EliteBook 840 G3 8GB Intel Core I5,SSD,3100,Used,Greater Accra,Weija
Desktop Computer Asus 8GB Intel Core I7,HDD,2500,Used,Greater Accra,Kokomlemle
Laptop Dell Precision 5510 8GB Intel Core I5,SSD,4800,Used,Greater Accra,Circle
New Laptop Dell 8GB Intel Core I7,SSD,13300,Brand New,Greater Accra,Tesano
Laptop Dell Chromebook 11 4GB Intel,HDD,1150,Used,Greater Accra,Circle
Desktop Computer Dell OptiPlex 3060 8GB Intel Core I5,SSD,2300,Used,Greater Accra,Kasoa
Laptop Dell Latitude 15 E5540 8GB Intel Core I5,SSD,2800,Used,Greater Accra,Adabraka
New Desktop Computer Asus TUF Gaming FX10CP 64GB Intel Core I9,SSD,28800,Brand New,Greater Accra,Accra Metropolitan
Laptop HP EliteBook 840 G3 16GB Intel Core I5,SSD,2000,Used,Western Region,Takoradi
HP M10 Wired,USB,110,Brand New,Greater Accra,Accra Metropolitan
New Laptop Asus ROG Zephyrus G14 16GB AMD Ryzen,SSD,24500,Brand New,Greater Accra,East Legon
New Laptop Dell Latitude 5330 16GB Intel Core I7,SSD,15984,Brand New,Ashanti,Kumasi Metropolitan
Laptop HP Stream 11 4GB Intel Core 2 Quad,HDD,950,Used,Greater Accra,Adabraka
"3in1 Laptop Bag,",African,150,Unknown,Greater Accra,Kotobabi
Laptop HP Pavilion 13 8GB Intel Core I5,SSD,3100,Used,Ashanti,Kumasi Metropolitan
Laptop HP 8GB Intel Core I5,SSD,2100,Used,Ashanti,Kumasi Metropolitan
Laptop HP EliteBook 840 G3 8GB Intel Core I5,SSD,3999,Used,Greater Accra,Lapaz
Laptop Dell Latitude 7390 16GB Intel Core I7,SSD,4400,Used,Greater Accra,Mamobi
Laptop Dell Latitude 13 7370 8GB Intel Core I7,SSD,3000,Used,Greater Accra,Kasoa
New Laptop Acer Nitro 5 16GB Intel Core I5,SSD,10200,Brand New,Greater Accra,Adabraka
HP Laptop,Battery,900,Brand New,Greater Accra,Tesano
New Desktop Computer Gigabyte GB-BACE-3010 8GB Intel Core,I7,10200,Brand New,Greater Accra,Teshie
Laptop HP Pavilion 15 8GB Intel Core I5,HDD,2300,Used,Greater Accra,East Legon
New Desktop Computer Gigabyte GB-BXA8G-8890 32GB AMD Ryzen,SSD,11300,Brand New,Greater Accra,Dansoman
Laptop Dell 4GB Intel Core I5,HDD,1000,Used,Greater Accra,Accra Metropolitan
Microsoft,Surface,380,Used,Ashanti,Kumasi Metropolitan
Laptop Dell 4GB Intel,HDD,1200,Used,Ashanti,Kwabre
Laptop HP ProBook 450 G2 8GB Intel Core I5,HDD+SSD,2800,Used,Greater Accra,Accra Metropolitan
